Date,Weekly New England (PADD 1A) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast (PADD 5) Except California Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
2015-01-01,2.454,2.481,2.235,1.974,1.993,2.114,2.582,2.428
2015-01-01,2.35,2.365,2.141,1.95,1.911,1.986,2.49,2.311
2015-01-01,2.222,2.267,2.057,1.918,1.844,1.908,2.382,2.206
2015-01-01,2.166,2.19,2.021,1.936,1.85,1.873,2.329,2.137
2015-01-01,2.145,2.178,2.004,2.029,1.86,1.867,2.328,2.133
2015-01-01,2.196,2.274,2.129,2.166,1.984,1.946,2.474,2.21
2015-01-01,2.251,2.314,2.208,2.237,2.074,1.995,2.622,2.319
2015-01-01,2.299,2.368,2.255,2.274,2.109,2.041,2.758,2.411
2015-01-01,2.4,2.449,2.335,2.378,2.215,2.123,3.13,2.632
2015-01-01,2.468,2.503,2.345,2.339,2.228,2.232,3.182,2.739
2015-01-01,2.446,2.482,2.326,2.285,2.22,2.288,3.116,2.703
2015-01-01,2.392,2.439,2.293,2.391,2.191,2.303,3.047,2.667
2015-01-01,2.364,2.419,2.337,2.378,2.187,2.313,3.0,2.639
2015-01-01,2.359,2.412,2.306,2.312,2.183,2.319,2.954,2.62
2015-01-01,2.349,2.416,2.312,2.303,2.188,2.351,2.922,2.61
2015-01-01,2.491,2.527,2.366,2.397,2.242,2.427,2.968,2.642
2015-01-01,2.568,2.602,2.439,2.439,2.305,2.478,3.182,2.749
2015-01-01,2.641,2.673,2.488,2.499,2.384,2.567,3.416,2.909
2015-01-01,2.665,2.709,2.516,2.508,2.436,2.634,3.444,2.948
2015-01-01,2.681,2.712,2.551,2.597,2.466,2.688,3.513,3.005
2015-01-01,2.722,2.735,2.597,2.655,2.486,2.728,3.487,3.021
2015-01-01,2.724,2.741,2.603,2.694,2.483,2.738,3.444,3.014
2015-01-01,2.743,2.751,2.63,2.677,2.536,2.758,3.377,3.008
2015-01-01,2.788,2.803,2.683,2.794,2.593,2.785,3.334,3.03
2015-01-01,2.806,2.786,2.663,2.743,2.574,2.788,3.329,3.069
2015-01-01,2.796,2.803,2.65,2.736,2.542,2.791,3.309,3.065
2015-01-01,2.78,2.8,2.637,2.736,2.521,2.81,3.297,3.065
2015-01-01,2.769,2.787,2.625,2.721,2.527,2.818,3.589,3.085
2015-01-01,2.735,2.746,2.586,2.671,2.488,2.841,3.604,3.098
2015-01-01,2.702,2.701,2.544,2.583,2.439,2.856,3.545,3.085
2015-01-01,2.648,2.669,2.486,2.518,2.393,2.828,3.48,3.061
2015-01-01,2.598,2.617,2.433,2.474,2.336,2.798,3.361,3.009
2015-01-01,2.558,2.577,2.408,2.79,2.336,2.835,3.363,2.982
2015-01-01,2.491,2.509,2.356,2.669,2.287,2.82,3.283,2.939
2015-01-01,2.4,2.423,2.269,2.468,2.196,2.768,3.162,2.852
2015-01-01,2.371,2.399,2.22,2.345,2.137,2.73,3.091,2.789
2015-01-01,2.334,2.345,2.167,2.28,2.091,2.683,2.992,2.711
2015-01-01,2.291,2.294,2.107,2.271,2.025,2.606,2.911,2.634
2015-01-01,2.256,2.255,2.113,2.325,2.015,2.539,2.836,2.562
2015-01-01,2.23,2.22,2.118,2.352,2.035,2.477,2.785,2.503
2015-01-01,2.216,2.235,2.157,2.405,2.051,2.424,2.748,2.462
2015-01-01,2.182,2.224,2.115,2.3,2.003,2.356,2.699,2.421
2015-01-01,2.163,2.195,2.068,2.228,1.945,2.302,2.677,2.384
2015-01-01,2.153,2.174,2.057,2.268,1.916,2.24,2.646,2.352
2015-01-01,2.176,2.229,2.111,2.215,1.972,2.181,2.667,2.397
2015-01-01,2.168,2.22,2.103,2.085,1.926,2.136,2.636,2.387
2015-01-01,2.148,2.184,2.036,1.935,1.854,2.092,2.579,2.344
2015-01-01,2.15,2.176,2.002,1.877,1.824,2.052,2.551,2.31
2015-01-01,2.135,2.171,1.983,1.89,1.816,2.014,2.537,2.292
2015-01-01,2.095,2.137,1.958,1.901,1.788,1.995,2.514,2.271
2015-01-01,2.08,2.115,1.962,1.846,1.781,1.994,2.57,2.283
2015-01-01,2.056,2.093,1.943,1.873,1.76,1.972,2.63,2.294
