Date,Weekly New England (PADD 1A) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast (PADD 5) Except California Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
2019-01-01,2.378,2.396,2.055,2.003,1.886,2.373,3.012,2.803
2019-01-01,2.355,2.388,2.069,2.047,1.91,2.306,2.98,2.756
2019-01-01,2.349,2.393,2.116,2.039,1.914,2.272,2.957,2.721
2019-01-01,2.346,2.388,2.138,2.052,1.959,2.231,2.928,2.683
2019-01-01,2.313,2.371,2.145,2.08,1.931,2.175,2.912,2.65
2019-01-01,2.294,2.37,2.135,2.15,1.959,2.166,2.921,2.644
2019-01-01,2.308,2.408,2.166,2.207,2.048,2.182,2.922,2.638
2019-01-01,2.374,2.477,2.262,2.306,2.113,2.193,2.934,2.633
2019-01-01,2.389,2.491,2.318,2.329,2.181,2.212,2.945,2.644
2019-01-01,2.424,2.546,2.358,2.4,2.217,2.253,2.978,2.682
2019-01-01,2.48,2.624,2.46,2.475,2.301,2.321,3.027,2.742
2019-01-01,2.538,2.677,2.505,2.562,2.379,2.4,3.144,2.849
2019-01-01,2.565,2.688,2.586,2.626,2.447,2.469,3.265,2.934
2019-01-01,2.589,2.741,2.613,2.67,2.452,2.539,3.418,3.056
2019-01-01,2.648,2.816,2.673,2.736,2.536,2.64,3.579,3.163
2019-01-01,2.737,2.857,2.655,2.722,2.535,2.759,3.629,3.243
2019-01-01,2.824,2.932,2.675,2.765,2.582,2.843,3.671,3.295
2019-01-01,2.86,2.929,2.69,2.767,2.557,2.919,3.707,3.346
2019-01-01,2.839,2.912,2.635,2.738,2.518,2.964,3.69,3.356
2019-01-01,2.829,2.893,2.591,2.742,2.517,2.982,3.667,3.345
2019-01-01,2.809,2.868,2.563,2.712,2.473,2.979,3.632,3.335
2019-01-01,2.777,2.837,2.529,2.746,2.424,2.98,3.596,3.313
2019-01-01,2.719,2.778,2.499,2.62,2.362,2.948,3.521,3.252
2019-01-01,2.668,2.738,2.417,2.541,2.336,2.91,3.452,3.182
2019-01-01,2.658,2.732,2.393,2.562,2.299,2.868,3.389,3.121
2019-01-01,2.687,2.799,2.501,2.629,2.368,2.823,3.386,3.102
2019-01-01,2.695,2.8,2.565,2.668,2.418,2.796,3.379,3.079
2019-01-01,2.728,2.82,2.58,2.763,2.455,2.771,3.356,3.055
2019-01-01,2.713,2.807,2.576,2.689,2.463,2.735,3.328,3.037
2019-01-01,2.7,2.786,2.512,2.659,2.422,2.708,3.306,3.011
2019-01-01,2.688,2.77,2.469,2.633,2.385,2.699,3.292,2.997
2019-01-01,2.654,2.725,2.418,2.522,2.324,2.688,3.259,2.985
2019-01-01,2.63,2.688,2.382,2.517,2.269,2.671,3.242,2.976
2019-01-01,2.606,2.664,2.338,2.495,2.261,2.65,3.227,2.97
2019-01-01,2.581,2.625,2.364,2.464,2.226,2.628,3.249,2.958
2019-01-01,2.545,2.606,2.349,2.438,2.236,2.633,3.254,2.966
2019-01-01,2.542,2.595,2.341,2.456,2.233,2.654,3.254,2.963
2019-01-01,2.556,2.662,2.458,2.585,2.353,2.698,3.337,3.005
2019-01-01,2.553,2.638,2.411,2.488,2.326,2.709,3.547,3.057
2019-01-01,2.523,2.612,2.397,2.499,2.282,2.712,3.642,3.101
2019-01-01,2.517,2.599,2.36,2.478,2.257,2.706,3.665,3.153
2019-01-01,2.526,2.606,2.392,2.476,2.279,2.728,3.649,3.189
2019-01-01,2.522,2.601,2.343,2.41,2.245,2.737,3.602,3.183
2019-01-01,2.53,2.619,2.372,2.416,2.23,2.791,3.602,3.184
2019-01-01,2.535,2.629,2.362,2.436,2.262,2.819,3.591,3.192
2019-01-01,2.53,2.607,2.335,2.435,2.22,2.835,3.54,3.171
2019-01-01,2.532,2.609,2.351,2.403,2.238,2.825,3.471,3.131
2019-01-01,2.537,2.606,2.383,2.424,2.225,2.817,3.407,3.104
2019-01-01,2.523,2.594,2.393,2.424,2.203,2.791,3.337,3.063
2019-01-01,2.524,2.59,2.358,2.391,2.228,2.73,3.274,3.007
2019-01-01,2.521,2.606,2.358,2.403,2.215,2.69,3.228,2.969
2019-01-01,2.555,2.624,2.41,2.452,2.282,2.663,3.219,2.959
