Date,Weekly New England (PADD 1A) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast (PADD 5) Except California Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
2008-01-01,3.133,3.151,3.101,3.101,2.977,2.95,3.247,3.108
2008-01-01,3.121,3.143,3.078,3.01,2.957,2.949,3.214,3.084
2008-01-01,3.087,3.106,3.023,2.958,2.904,2.928,3.155,3.031
2008-01-01,3.061,3.069,2.981,2.922,2.875,2.914,3.086,2.979
2008-01-01,3.035,3.043,2.967,2.962,2.872,2.941,3.055,2.967
2008-01-01,3.008,3.015,2.94,2.942,2.851,2.935,3.06,2.977
2008-01-01,3.041,3.059,3.038,3.046,2.941,2.959,3.137,3.042
2008-01-01,3.134,3.148,3.153,3.08,3.056,3.051,3.265,3.157
2008-01-01,3.146,3.164,3.177,3.08,3.088,3.088,3.386,3.26
2008-01-01,3.17,3.185,3.208,3.191,3.131,3.109,3.457,3.319
2008-01-01,3.208,3.247,3.271,3.252,3.177,3.178,3.523,3.382
2008-01-01,3.198,3.243,3.252,3.192,3.166,3.198,3.517,3.371
2008-01-01,3.209,3.258,3.268,3.249,3.206,3.232,3.523,3.374
2008-01-01,3.229,3.273,3.309,3.299,3.253,3.267,3.578,3.393
2008-01-01,3.289,3.327,3.354,3.358,3.285,3.324,3.662,3.468
2008-01-01,3.489,3.482,3.483,3.47,3.411,3.416,3.734,3.541
2008-01-01,3.601,3.615,3.59,3.568,3.505,3.478,3.786,3.602
2008-01-01,3.626,3.638,3.584,3.579,3.507,3.494,3.8,3.624
2008-01-01,3.75,3.729,3.69,3.736,3.616,3.609,3.833,3.685
2008-01-01,3.838,3.824,3.759,3.799,3.689,3.686,3.883,3.763
2008-01-01,3.974,3.948,3.918,3.951,3.829,3.851,4.029,3.909
2008-01-01,4.028,4.001,3.929,3.952,3.846,3.89,4.166,4.035
2008-01-01,4.089,4.058,3.969,3.982,3.909,3.941,4.325,4.137
2008-01-01,4.131,4.103,3.99,3.997,3.937,3.994,4.452,4.217
2008-01-01,4.12,4.102,3.984,3.996,3.919,4.002,4.46,4.244
2008-01-01,4.12,4.104,4.003,4.031,3.928,4.034,4.456,4.253
2008-01-01,4.143,4.115,4.033,4.059,3.958,4.065,4.44,4.251
2008-01-01,4.136,4.109,4.024,4.066,3.971,4.097,4.415,4.233
2008-01-01,4.111,4.077,3.999,3.981,3.942,4.105,4.363,4.197
2008-01-01,4.002,4.003,3.916,3.827,3.857,4.06,4.245,4.119
2008-01-01,3.931,3.931,3.842,3.772,3.766,4.006,4.14,4.029
2008-01-01,3.84,3.844,3.753,3.731,3.685,3.953,4.057,3.952
2008-01-01,3.731,3.73,3.671,3.708,3.599,3.888,3.98,3.882
2008-01-01,3.661,3.665,3.602,3.687,3.519,3.834,3.906,3.822
2008-01-01,3.642,3.634,3.626,3.673,3.578,3.813,3.859,3.78
2008-01-01,3.61,3.597,3.617,3.636,3.551,3.767,3.813,3.733
2008-01-01,3.655,3.672,3.957,3.946,3.757,3.754,3.77,3.71
2008-01-01,3.601,3.634,3.821,3.754,3.678,3.651,3.693,3.639
2008-01-01,3.53,3.56,3.781,3.609,3.6,3.6,3.642,3.595
2008-01-01,3.386,3.436,3.672,3.393,3.436,3.496,3.568,3.513
2008-01-01,3.097,3.186,3.288,2.992,2.99,3.268,3.421,3.335
2008-01-01,2.864,2.968,2.937,2.769,2.734,3.04,3.275,3.137
2008-01-01,2.64,2.766,2.637,2.497,2.46,2.762,3.05,2.912
2008-01-01,2.448,2.561,2.365,2.237,2.228,2.482,2.74,2.665
2008-01-01,2.29,2.388,2.18,2.06,2.096,2.257,2.534,2.499
2008-01-01,2.121,2.205,2.044,1.933,1.956,2.033,2.357,2.327
2008-01-01,1.951,2.05,1.88,1.75,1.805,1.847,2.117,2.126
2008-01-01,1.872,1.948,1.79,1.717,1.732,1.738,1.972,1.999
2008-01-01,1.765,1.846,1.688,1.602,1.639,1.623,1.829,1.87
2008-01-01,1.705,1.754,1.622,1.644,1.556,1.559,1.751,1.774
2008-01-01,1.69,1.718,1.63,1.623,1.55,1.525,1.791,1.765
2008-01-01,1.65,1.674,1.591,1.567,1.498,1.506,1.79,1.757
